angle,display_name,ad_name,ad_id,campaign,impressions,cpm,frequency,clicks,ctr,cpc,landing_page_views,add_to_cart,video_3s_plays,video_25pct,video_50pct,video_75pct,video_100pct,initiate_checkout,purchases,purchase_rate_of_clicks,roas
פנייה ישירה לאמהות (קליקבייט),אמהות-בריאות-ילדים (קליקבייט),אמהות-בריאות-ילדים (קליקבייט),120248015987670547,TESTING 1 - מודעות תמונות,1994,116.178536,1.394406,124.0,6.218656,1.868226,96.0,3.0,,,,,,2.0,1.0,0.806452,1.731633
חסכון לטווח ארוך,חסכון לטווח ארוך,חסכון לטווח ארוך,120248744444530547,TESTING 1 - מודעות תמונות,538,65.539033,1.078156,6.0,1.115242,5.876667,2.0,,,,,,,2.0,,0.0,
ניקיון ותחזוקה,ניקיון ותחזוקה,ניקיון ותחזוקה,120248745372170547,TESTING 1 - מודעות תמונות,11132,31.142652,1.490427,368.0,3.305785,0.942065,280.0,15.0,,,,,,11.0,1.0,0.271739,1.316632
FOMO ונראות,FOMO ונראות,FOMO ונראות,120248748106070547,TESTING 1 - מודעות תמונות,113,121.681416,1.097087,4.0,3.539823,3.4375,3.0,,,,,,,,,0.0,
בריאות / רעלים / מיקרופלסטיק,היגיינה בריאות (קליקבייט),היגיינה בריאות (קליקבייט),120249119410350547,TESTING 1 - מודעות תמונות,4608,69.079861,1.152865,126.0,2.734375,2.526349,109.0,1.0,,,,,,,,0.0,
בריאות / רעלים / מיקרופלסטיק,"העברת ריחות וטעמים, רעלים מיקרופלסטיק.בצל","העברת ריחות וטעמים, רעלים מיקרופלסטיק.בצל",120249121061510547,TESTING 1 - מודעות תמונות,1918,74.212722,1.136256,37.0,1.929093,3.847027,31.0,4.0,,,,,,3.0,,0.0,
בריאות / רעלים / מיקרופלסטיק,מיקרופלסטיק - בריאות,אמהות(ילדים) מיקרופלסטיק-קליקבייט,120249122509590547,TESTING 1 - מודעות תמונות,4797,79.224515,1.244035,67.0,1.396706,5.672239,60.0,2.0,,,,,,1.0,,0.0,
"הוק ""לכל האמהות""","פרסומת (הוק ""לכל האמהות"")(פייסבוק)",ממלכת המטבח פייס,120249226120700547,אורגני -סרטונים,589,221.188455,1.192308,11.0,1.867572,11.843636,10.0,6.0,217.0,23.0,9.0,4.0,2.0,1.0,1.0,9.090909,3.535846
"הוק ""לכל האמהות""","פרסומת (הוק ""לכל האמהות"")(אורגני אינסטגרם)","פרסומת (הוק ""לכל האמהות"")(אורגני אינסטגרם)",120249226254440547,אורגני -סרטונים,840,184.904762,1.381579,11.0,1.309524,14.12,10.0,,180.0,19.0,6.0,2.0,2.0,,,0.0,
בריאות / רעלים / מיקרופלסטיק,"העברת ריחות וטעמים, רעלים מיקרופלסטיק.בצל","העברת ריחות וטעמים, רעלים מיקרופלסטיק.בצל",120249312237170547,TESTING 1 - מודעות תמונות,815,102.785276,1.063969,11.0,1.349693,7.615455,6.0,2.0,,,,,,1.0,1.0,9.090909,2.136803
בריאות / רעלים / מיקרופלסטיק,"‏העברת ריחות וטעמים, רעלים מיקרופלסטיק.בצל‏ (עם שיפורים)","‏העברת ריחות וטעמים, רעלים מיקרופלסטיק.בצל‏ (עם שיפורים)",120249479492470547,TESTING 1 - מודעות תמונות,1283,76.780982,1.093777,10.0,0.779423,9.851,10.0,1.0,,,,,,,,0.0,
ניקיון ותחזוקה,ניקיון ויעילות - במיוחד לנשים,‏טסט אוסף 2‏ - עותק,120249479509580547,TESTING 1 - מודעות תמונות,932,85.643777,1.193342,7.0,0.751073,11.402857,5.0,,,,,,,,,0.0,
"הוק ""זה אתם?""","פרסומת (הוק ""זה אתם?"") (אורגני אינסטגרם)","פרסומת (הוק ""זה אתם?"") (אורגני אינסטגרם)",120249511939230547,אורגני סרטונים 2,1890,165.216931,1.117682,35.0,1.851852,8.921714,29.0,4.0,647.0,133.0,52.0,28.0,11.0,2.0,1.0,2.857143,2.526965
"הוק ""זה אתם?""","פרסומת (הוק ""זה אתם?"") (פייסבוק)","פרסומת (הוק ""זה אתם?"")",120249740323140547,testing winners,1820,93.631868,1.092437,15.0,0.824176,11.360667,11.0,1.0,598.0,129.0,48.0,24.0,11.0,,,0.0,
"הוק ""זה אתם?""","פרסומת (הוק ""זה אתם?"") (עם שיפורים)","פרסומת (הוק ""זה אתם?"") (עם שיפורים)",120249745738690547,testing winners,616,154.967532,1.1,11.0,1.785714,8.678182,9.0,2.0,203.0,46.0,20.0,12.0,6.0,,,0.0,
ניקיון ותחזוקה,ניקיון ותחזוקה (עם שיפורים),ניקיון ותחזוקה (עם שיפורים),120249746698980547,testing winners,1703,74.550793,1.156929,17.0,0.998238,7.468235,13.0,,,,,,,,,0.0,
