"הדיווח מתחיל","הדיווח מסתיים","שם המודעה","הצגת מודעות","הסכום ששולם (ILS)","תקציב סדרת מודעות","סוג תקציב של סדרת מודעות",חשיפות,"עלות לאלף חשיפות (ILS)",תדירות,"קליקים על קישור","החזר על הוצאות פרסום על רכישות","הגדרת ייחוס",תוצאות,"מחוון תוצאות","עלות לתוצאות","הפעלות סרטון למשך 3 שניות","צפיות בדף נחיתה","הוספות לעגלת הקניות","שיעור קליקים על קישור","עלות לקליק (עלות לקליק על קישור) (ILS)","מעברים לתשלום","הפעלות של 25% מהסרטון","הפעלות של 50% מהסרטון","הפעלות של 75% מהסרטון","הפעלות של 100% מהסרטון","מעברים לתשלום באפליקציה לנייד","מעברים לתשלום במצב לא מקוון","מעברים לתשלום באתר","שם הקמפיין","שיעור רכישות לפי קליקים על קישורים",רכישות,"מזהה קמפיין","מזהה סדרת מודעות","מזהה המודעה","מזהה החשבון"
2026-05-06,2026-07-14,"אמהות-בריאות-ילדים (קליקבייט)",inactive,231.66,150,יומי,1994,116.178536,1.394406,124,1.731633,"קליקים ב-7 ימים או צפיות ביום אחד",1,actions:offsite_conversion.fb_pixel_purchase,231.66,,96,3,6.218656,1.868226,2,,,,,,,2,"TESTING 1 - מודעות תמונות",0.806452,1,120248015987650547,120248015987660547,120248015987670547,1780370743368931
2026-05-06,2026-07-14,"חסכון לטווח ארוך",inactive,35.26,150,יומי,538,65.539033,1.078156,6,,"קליקים ב-7 ימים או צפיות ביום אחד",,,,,2,,1.115242,5.876667,2,,,,,,,2,"TESTING 1 - מודעות תמונות",0,,120248015987650547,120248015987660547,120248744444530547,1780370743368931
2026-05-06,2026-07-14,"ניקיון ותחזוקה",inactive,346.68,150,יומי,11132,31.142652,1.490427,368,1.316632,"קליקים ב-7 ימים או צפיות ביום אחד",1,actions:offsite_conversion.fb_pixel_purchase,346.68,,280,15,3.305785,0.942065,11,,,,,,,11,"TESTING 1 - מודעות תמונות",0.271739,1,120248015987650547,120248015987660547,120248745372170547,1780370743368931
2026-05-06,2026-07-14,"FOMO ונראות",inactive,13.75,150,יומי,113,121.681416,1.097087,4,,"קליקים ב-7 ימים או צפיות ביום אחד",,,,,3,,3.539823,3.4375,,,,,,,,,"TESTING 1 - מודעות תמונות",0,,120248015987650547,120248015987660547,120248748106070547,1780370743368931
2026-05-06,2026-07-14,"ניקיון ותחזוקה -זווית תחושת קלילות לנשים",inactive,20.45,150,יומי,227,90.088106,1.152284,4,,"קליקים ב-7 ימים או צפיות ביום אחד",,,,,2,,1.762115,5.1125,,,,,,,,,"TESTING 1 - מודעות תמונות",0,,120248015987650547,120249076626940547,120249076626930547,1780370743368931
2026-05-06,2026-07-14,"היגיינה בריאות (קליקבייט)",inactive,318.32,150,יומי,4608,69.079861,1.152865,126,,"קליקים ב-7 ימים או צפיות ביום אחד",,,,,109,1,2.734375,2.526349,,,,,,,,,"TESTING 1 - מודעות תמונות",0,,120248015987650547,120249076626940547,120249119410350547,1780370743368931
2026-05-06,2026-07-14,"העברת ריחות וטעמים, רעלים מיקרופלסטיק.בצל",inactive,142.34,150,יומי,1918,74.212722,1.136256,37,,"קליקים ב-7 ימים או צפיות ביום אחד",,,,,31,4,1.929093,3.847027,3,,,,,,,3,"TESTING 1 - מודעות תמונות",0,,120248015987650547,120249076626940547,120249121061510547,1780370743368931
2026-05-06,2026-07-14,"אמהות(ילדים) מיקרופלסטיק-קליקבייט",inactive,380.04,150,יומי,4797,79.224515,1.244035,67,,"קליקים ב-7 ימים או צפיות ביום אחד",,,,,60,2,1.396706,5.672239,1,,,,,,,1,"TESTING 1 - מודעות תמונות",0,,120248015987650547,120249076626940547,120249122509590547,1780370743368931
2026-05-06,2026-07-14,"ממלכת האמהות אינסט",archived,54.88,"שימוש בתקציב הקמפיין",0,165,332.606061,1.037736,1,,"קליקים ב-7 ימים או צפיות ביום אחד",,,,83,1,,0.606061,54.88,,6,4,2,2,,,,אורגני,0,,120249130369000547,120249130369010547,120249130369020547,1780370743368931
2026-05-06,2026-07-14,"ממלכת המטבח פייס",inactive,130.28,"שימוש בתקציב הקמפיין",0,589,221.188455,1.192308,11,3.535846,"קליק עד 7 ימים, צפייה עד יום אחד או צפייה עם מעורבות עד יום אחד",1,actions:offsite_conversion.fb_pixel_purchase,130.28,217,10,6,1.867572,11.843636,1,23,9,4,2,,,1,"אורגני -סרטונים",9.090909,1,120249226120680547,120249226120500547,120249226120700547,1780370743368931
